match_id,team,opponent,xg,possession,shots_on_target,shots_total,passes_completed,pass_accuracy,ppda,tackles_successful,interceptions,clearances,fouls_committed,yellow_cards,corners,crosses_completed,aerial_duels_won_pct,errors_leading_to_shot,outcome
57,Brazil,Croatia,2.5,50.0,11.0,21.0,638.0,86.45,21.93,16.0,13.0,16.0,24.0,0,7.0,24.0,45.83,0,Draw
58,Netherlands,Argentina,0.6,52.0,2.0,6.0,572.0,81.6,15.94,18.0,15.0,17.0,30.0,0,2.0,25.0,61.29,0,Draw
58,Argentina,Netherlands,1.9,48.0,4.0,13.0,526.0,81.93,22.88,19.0,6.0,20.0,18.0,0,8.0,12.0,38.71,0,Draw
59,Morocco,Portugal,1.4,27.0,3.0,9.0,187.0,69.78,28.86,12.0,9.0,36.0,15.0,0,3.0,7.0,45.83,0,Win
59,Portugal,Morocco,0.9,73.0,3.0,12.0,606.0,82.9,8.9,12.0,9.0,3.0,9.0,0,9.0,35.0,54.17,0,Loss
60,England,France,2.4,57.0,6.0,14.0,463.0,85.27,13.54,16.0,8.0,13.0,10.0,0,5.0,18.0,48.65,0,Loss
60,France,England,0.9,43.0,5.0,8.0,325.0,79.46,30.87,10.0,5.0,16.0,14.0,0,2.0,11.0,51.35,0,Win
61,Argentina,Croatia,2.3,40.0,6.0,8.0,352.0,82.44,18.6,22.0,8.0,22.0,15.0,0,2.0,6.0,46.15,0,Win
61,Croatia,Argentina,0.5,60.0,2.0,12.0,558.0,85.45,14.67,19.0,5.0,6.0,8.0,0,4.0,20.0,53.85,0,Loss
62,France,Morocco,1.9,39.0,2.0,14.0,309.0,79.03,12.61,22.0,19.0,16.0,10.0,0,2.0,6.0,60.0,0,Win
62,Morocco,France,0.9,61.0,2.0,13.0,517.0,84.89,13.43,15.0,8.0,3.0,11.0,0,3.0,15.0,40.0,0,Loss
63,Croatia,Morocco,0.7,50.0,4.0,12.0,431.0,82.73,15.25,20.0,8.0,19.0,13.0,0,6.0,14.0,42.86,0,Win
63,Morocco,Croatia,1.2,50.0,2.0,9.0,427.0,83.07,21.55,10.0,10.0,16.0,11.0,0,3.0,18.0,57.14,0,Loss
64,Argentina,France,3.3,54.0,9.0,19.0,554.0,80.41,13.27,23.0,10.0,24.0,26.0,0,6.0,17.0,29.03,0,Draw
64,France,Argentina,2.2,46.0,3.0,8.0,438.0,74.87,15.39,26.0,10.0,18.0,19.0,0,5.0,24.0,70.97,0,Draw
